epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,126.212,1.30572,3.48227,1.32718,0.02005,0.25,0.24353,0.21656,1.34173,3.78743,1.41496,0.0001625,0.0001625,0.0001625
2,235.236,1.15295,2.15142,1.14906,0.99827,0.25,0.25262,0.21816,1.33401,3.22965,1.36292,0.000330818,0.000330818,0.000330818
3,345.459,1.11988,1.64649,1.13317,0.99923,0.25,0.31635,0.25576,1.38648,2.82631,1.32542,0.000492205,0.000492205,0.000492205
4,455.172,1.14593,1.39245,1.14984,0.99873,0.21667,0.26082,0.23011,1.41114,2.96701,1.36498,0.000646662,0.000646662,0.000646662
5,562.754,1.10189,1.22798,1.11784,0.82677,0.31481,0.75487,0.45921,1.28665,2.41471,1.34026,0.00079419,0.00079419,0.00079419
6,691.146,1.06696,1.15632,1.09854,0.75657,0.53201,0.79226,0.41608,1.41051,2.21233,1.33794,0.000934788,0.000934788,0.000934788
7,813.478,1.14484,1.13391,1.11343,0.81963,0.50232,0.83838,0.49484,1.30945,2.23339,1.34738,0.00106846,0.00106846,0.00106846
8,932.511,1.11535,1.13502,1.12518,0.76307,0.40602,0.82361,0.42304,1.44944,2.37002,1.37419,0.00107675,0.00107675,0.00107675
9,1050.72,1.08792,1.0941,1.15119,0.85865,0.78456,0.88402,0.53895,1.31919,1.64104,1.33856,0.001052,0.001052,0.001052
10,1173.38,1.12267,1.14614,1.11415,0.88507,0.8513,0.9725,0.55526,1.37646,1.75521,1.3969,0.00102725,0.00102725,0.00102725
11,1296.22,1.09555,1.02522,1.11153,0.82825,0.8411,0.9408,0.55373,1.30671,1.51923,1.33273,0.0010025,0.0010025,0.0010025
12,1418.39,1.05791,1.03784,1.11082,0.72934,0.82887,0.9357,0.54563,1.2728,1.35255,1.3257,0.00097775,0.00097775,0.00097775
13,1541.28,1.04054,0.97273,1.07929,0.8189,0.92308,0.95879,0.56942,1.31717,1.45391,1.38527,0.000953,0.000953,0.000953
14,1664.23,1.014,0.93623,1.08012,0.83888,0.94231,0.9655,0.53992,1.34263,1.21995,1.35935,0.00092825,0.00092825,0.00092825
15,1791.37,1.01962,0.93191,1.06809,0.8298,0.97291,0.95334,0.59842,1.21197,1.10236,1.30492,0.0009035,0.0009035,0.0009035
16,1916.91,1.03165,0.89126,1.08171,0.94023,0.9401,0.97334,0.58768,1.2757,1.03078,1.39472,0.00087875,0.00087875,0.00087875
17,2033.07,0.96699,0.85383,1.05898,0.92949,0.90394,0.98434,0.60702,1.21438,1.0486,1.27274,0.000854,0.000854,0.000854
18,2149.77,0.99875,0.79026,1.05217,0.89953,0.96183,0.97739,0.58347,1.30567,1.06466,1.33728,0.00082925,0.00082925,0.00082925
19,2269.61,1.01503,0.81265,1.07172,0.84648,0.98281,0.97407,0.57676,1.30234,1.05378,1.29615,0.0008045,0.0008045,0.0008045
20,2386.01,0.94925,0.80356,1.05292,0.80338,0.91124,0.91331,0.5539,1.3295,1.11404,1.36861,0.00077975,0.00077975,0.00077975
21,2501.56,0.97329,0.77828,1.05319,0.74826,0.91369,0.90622,0.50155,1.38654,1.27374,1.41339,0.000755,0.000755,0.000755
22,2629.33,0.94211,0.80464,1.076,0.83879,0.88834,0.95429,0.59765,1.16631,0.97082,1.23473,0.00073025,0.00073025,0.00073025
23,2756.22,0.96757,0.77285,1.06105,0.85248,0.94559,0.97308,0.60336,1.14678,0.96899,1.20258,0.0007055,0.0007055,0.0007055
24,2881.25,0.92383,0.75061,1.03178,0.86299,0.94903,0.92874,0.58472,1.19596,0.99569,1.2241,0.00068075,0.00068075,0.00068075
25,3008.67,0.93919,0.75483,1.04962,0.801,0.92308,0.88074,0.56838,1.22323,1.03701,1.26935,0.000656,0.000656,0.000656
26,3139.58,0.96303,0.7525,1.07011,0.79297,0.87358,0.86762,0.52226,1.23016,1.07282,1.27574,0.00063125,0.00063125,0.00063125
27,3266.12,0.94736,0.73611,1.05721,0.85894,0.91975,0.9213,0.54588,1.23819,0.93061,1.29515,0.0006065,0.0006065,0.0006065
